Date,Category,Item,Rarity,Daily_Slips,Floor_ETH,Floor_USD,Notes
2026-07-28,Collectible Axie,Non-Collectible,,0,0.00038,0.71,Floor collectible comparison
2026-07-28,Collectible Axie,Summer,,1,0.00910,17.10,
2026-07-28,Collectible Axie,Nightmare,,3,0.01799,33.82,
2026-07-28,Collectible Axie,Japanese,,12,0.04749,89.03,
2026-07-28,Collectible Axie,Shiny,,40,0.16750,314.67,
2026-07-28,Collectible Axie,Xmas,,32,0.17880,335.90,
2026-07-28,Collectible Axie,Meo,,40,0.15600,293.06,
2026-07-28,Collectible Axie,Origin,,100,0.41899,785.46,
2026-07-28,Collectible Axie,Mystic,,460,2.40000,4499.14,
2026-07-28,Land Item,Forest,Common,,0.00057,1.07,
2026-07-28,Land Item,Forest,Rare,,0.00167,3.14,
2026-07-28,Land Item,Forest,Epic,,0.04500,84.35,
2026-07-28,Land Item,Savannah,Common,,0.00070,1.31,
2026-07-28,Land Item,Savannah,Rare,,0.00143,2.68,
2026-07-28,Land Item,Savannah,Epic,,0.03500,65.61,
2026-07-28,Accessory,Neck,Common,,0.00039,0.75,
2026-07-28,Accessory,Neck,Rare,,0.00028,0.54,
